logFC	logCPM	PValue	FDR
Saci_2306	1.71654834202188	8.86072184968184	9.60206975870476e-07	3.40530545371208e-05
Saci_0324	1.54523758276893	9.06172119902357	1.13971841966046e-06	3.89544710288763e-05
Saci_0233	1.98271886493681	10.6237061542815	1.17687223652194e-06	3.89544710288763e-05
Saci_1846	1.59228791775096	8.99563346692203	1.56367091698136e-06	5.00879103407256e-05
Saci_2134	1.52004201849481	9.19188051694563	3.68429683578983e-06	0.000112492757161506
Saci_1073	1.50842465927355	10.1806506338448	3.73842999630384e-06	0.000112492757161506
Saci_0513	1.53607422038522	11.3414996681291	4.1064224760374e-06	0.000119931691726622
Saci_1185	1.61805250489468	8.26420676187432	4.24093056683404e-06	0.00012032125865332
Saci_1938	1.50011090693212	10.1583763051147	4.40629486184121e-06	0.00012154029993912
Saci_2028	-1.92644042215795	9.2782710110853	6.25035145895989e-06	0.000167745918885059
Saci_2355	-1.45774151659288	10.8550587487608	7.36683752273078e-06	0.000192507096317675
Saci_0231	1.39210777905625	9.07637390388643	9.87527300765676e-06	0.000251439643502645
Saci_2229	1.34969377934584	8.69310711163019	1.52343592930903e-05	0.000378192969450968
Saci_0488	-1.34700712350236	9.72732184193756	1.63920148516503e-05	0.000397006603602165
Saci_1187	1.3596421259575	9.89378527288926	2.13133895086436e-05	0.000503909423382932
Saci_1272	-1.72236678111702	8.6437382145454	2.93575343987974e-05	0.000677954224604787
Saci_0359	1.43915851871767	10.0555332605464	3.38121178634417e-05	0.000763078023599945
Saci_1849	1.40933438574833	9.81397610542932	4.37906146814743e-05	0.000966312897304533
Saci_2065	1.44418912884098	7.71498329958602	5.2171329124718e-05	0.00112622021349663
Saci_0109	-1.26616707927175	10.3668458549439	6.16984747659958e-05	0.00130354437111987
Saci_1501	-1.6387846225325	10.2333031715969	6.45795316352545e-05	0.00133598906070433
Saci_1162	1.49266774921885	8.40089220211449	6.59425582596613e-05	0.00133634612962946
Saci_0141	-1.36573843341397	10.1668629158268	7.30617700941963e-05	0.00145100675407074
Saci_2194	1.23471312807052	8.67722192187904	7.53117012358322e-05	0.00146636312406238
Saci_1647	1.35401171561623	8.24493571228993	8.67656360341269e-05	0.00165089066480624
Saci_2222	1.50185786483691	9.99955491900564	8.81140032575332e-05	0.00165089066480624
Saci_1002	1.31739792382027	8.93087944847881	0.00010214509312244	0.00184495580471268
Saci_1951	1.69468256726548	7.64937380014025	0.00010218788445035	0.00184495580471268
Saci_1172	1.7853199992047	10.2311041939084	0.000109148874545002	0.00193544343612833
Saci_0945	1.34157669472901	9.23966927531183	0.000121398905468158	0.00211235771597031
Saci_2213	1.48988013222794	8.78109732815279	0.000123380410399071	0.00211235771597031
Saci_1183	1.17525412313999	9.06625565500343	0.000158542118749569	0.0026683444731919
Saci_2281	-1.24116814669423	10.3078772669799	0.00016490636196061	0.0027292002904481
Saci_1043	-1.12582621365751	9.35011710500717	0.000197290491984641	0.00318373999622628
Saci_1445	1.27165799497496	8.44520004073259	0.000198783363309194	0.00318373999622628
Saci_1853	1.26551942694863	8.19913379451784	0.000212785381369779	0.00335390291587605
Saci_0511	1.55113017769176	7.81810345154669	0.000216690929758829	0.00336209520703933
Saci_0905	-1.24710598128005	10.3693507768548	0.000224202124936934	0.00342511861634424
Saci_2041	-1.43593212585931	7.15619870359034	0.000270098530422987	0.00406375516227312
Saci_1124	1.71780875133073	7.63692510354501	0.000283037278946971	0.00419486594021407
Saci_2009	1.20593347562445	9.8512566171649	0.000388592517858229	0.00567459367990032
Saci_0569	1.35989781347846	7.56128331082457	0.000409325552495514	0.005890728603305
Saci_0209	1.17668265051326	9.64321138858953	0.00044620548851367	0.00632974357277249
Saci_2073	1.25352784347323	7.6833180407915	0.000459023537832181	0.00641986440939937
Saci_0817	-1.42617864637082	8.41517382268673	0.000469932741642048	0.00648115572847991
Saci_1120	1.28808400304732	8.10208871518644	0.000572764251184351	0.00779116303323371
Saci_0004	-1.20718856716933	12.6809031931239	0.000617169280827257	0.00828174453866846
Saci_2007	1.11950615528848	8.63881006598083	0.000627592781943899	0.00830932843293722
Saci_1114	1.32163965674899	8.7681260090458	0.00063835977890606	0.00834067447965417
Saci_1023	1.15144378618431	10.0295837384531	0.000805976820647224	0.0103939608169181
Saci_1115	1.19546096751825	10.0607353895892	0.000833592226569968	0.0106122702690254
Saci_1270	1.19639590649727	10.1686753826674	0.00101231785054676	0.0127244509568726
Saci_1823	1.22568430960154	8.07432086945574	0.00102846928108445	0.0127658749514607
Saci_1380	-1.15644114057974	9.36255529546541	0.00109849129831734	0.0134666896201125
Saci_0190	-1.56289435527557	9.32261466248759	0.00114085243569457	0.0138154447395696
Saci_1508	-1.1201137027719	9.97874777245227	0.00135081824038054	0.0161609941288901
Saci_1419	1.43125156796399	7.93401661076138	0.00137375100615536	0.0162396993941938
Saci_0885	1.37660902195007	9.67723843331266	0.00162023505004144	0.0189281577022488
Saci_0238	1.07110279852573	8.94015579812603	0.00167221653988329	0.0193082677221408
Saci_0135	0.993884665831274	8.8782324859975	0.00173495061774434	0.0198023673956337
Saci_1135	-1.09242155427123	13.3756645245605	0.001833062108641	0.0205387248843527
Saci_1103	1.27377062249958	8.34038428573556	0.00184083234109506	0.0205387248843527
Saci_1903	1.20983509891244	8.50247797302382	0.00202356448383156	0.0219431473422861
Saci_1196	1.28507135595555	7.69765269351401	0.00202543340992628	0.0219431473422861
Saci_0376	-1.03528495470306	8.54151509260786	0.00206242163337261	0.0219431473422861
Saci_0103	0.998128225739934	12.3940585893611	0.00206640234179212	0.0219431473422861
Saci_0031	-1.51430452382463	10.4367357626222	0.00207719622374108	0.0219431473422861
Saci_1376	-1.11687862229055	10.0303848518535	0.00212381234110568	0.0221994279443994
Saci_1048	-1.3636580903593	8.1108923592147	0.00214790133033632	0.0222173543856663
Saci_1760	-1.17314615135356	9.02928148079036	0.00221727992889689	0.0226985460762331
Saci_0658	-0.962078326653832	10.3712057282824	0.00236387126888616	0.02395228744902
Saci_0367	-0.95373072066147	10.8362375057125	0.00251494487412046	0.0249838637573527
Saci_0461	1.14327162408316	7.68076398059883	0.00251599836428527	0.0249838637573527
Saci_1682	1.02052387404993	11.612691944155	0.00255716709926756	0.0251412567284425
Saci_2172	0.969865418019153	8.77238585984478	0.00280224527153751	0.0272806819082034
Saci_1298	-0.978916457971595	9.07535500166099	0.00290427408213927	0.0279994578986825
Saci_0013	-0.945967836237095	10.117338516095	0.00322597074213902	0.030801816797539
Saci_0377	-0.901360798745249	10.542488732576	0.00326847090436751	0.0309103962670184
Saci_0166	0.88110032915135	9.2887053481415	0.00338480359815019	0.0317085846505957
Saci_1777	0.970654650618434	8.45211804562803	0.00345687362258502	0.0320810795067937
Saci_1906	1.12065702573526	8.1378045154412	0.00390842811540258	0.0359358251721737
Saci_0631	0.968837648257105	8.21287889712295	0.00418049924054908	0.0380847316134425
Saci_2171	1.24823052189616	7.32736800934251	0.00466489040165324	0.0421112378985606
Saci_1352	-0.883419431126012	8.68234039477651	0.00510790809059543	0.0456669383546136
Saci_2206	1.07227483468717	8.08126856469931	0.00515075236225249	0.0456669383546136
Saci_1943	0.992714860109787	8.80460907105411	0.00520025574272521	0.0456978225887268
Saci_1622	-1.13069994194515	10.728205601562	0.00535719796450392	0.0466640138487052
Saci_1221	-0.978341385552889	7.79286696484388	0.00551636183877087	0.0476325852686911
Saci_1433	-0.839435308696264	9.59418248107726	0.00611437980932582	0.0523217913985846
Saci_1720	-0.922119067808696	12.0573454707479	0.00616480321614743	0.0523217913985846
Saci_1160	0.955444632481878	7.6993958944258	0.00635133965645329	0.0534481379564247
Saci_1131	0.874695042845616	8.8547780372897	0.00652552769771118	0.0540677954361442
Saci_0866	0.914950992363003	9.73305787256417	0.00653387256025912	0.0540677954361442
Saci_1747	-0.848666761325078	12.587202607963	0.00661503107131121	0.0540913749442224
Saci_0297	-0.835491379947849	9.87298439983972	0.00664566741510084	0.0540913749442224
Saci_0329	-0.998586899539475	7.67671548751083	0.00679881430594916	0.0548879886651018
Saci_0925	1.11957039993153	7.74203821117705	0.00689512740357297	0.0552166250947416
Saci_0045	-0.828591112786904	13.332345517942	0.00699394765039384	0.0555599201347286
Saci_1603	-0.900257972917065	10.2074650291523	0.00732599796396964	0.0575642556806754
Saci_0153	-0.824309917903191	10.8162229575663	0.00736219584234218	0.0575642556806754
Saci_2116	0.936785644834654	9.15191203628391	0.00752052379098126	0.0581950450895125
Saci_0661	-0.85867885129194	9.25160699945645	0.00756008138625087	0.0581950450895125
Saci_1240	0.843148180398308	10.0178632351858	0.00832762161712323	0.0636102174292567
Saci_0568	0.808765165783836	11.5432945888448	0.00851206920261101	0.0645227841083415
Saci_0358	1.12238780323636	10.975123715951	0.00891060185735454	0.0668234280943556
Saci_2155	0.995114831565094	8.29559124303686	0.00895016710629334	0.0668234280943556
Saci_1213	0.964547469089974	7.55219848515246	0.0091658184706253	0.0679228189651561
Saci_1670	0.816030550515473	8.8346744913925	0.00938196903153742	0.0690095944319753
Saci_1239	-1.19201332593187	8.55918164002253	0.00949855880256461	0.069353447727549
Saci_0447	0.934220965179793	10.361309435886	0.010116355207499	0.0731639739447695
Saci_1681	-0.795612782215424	10.8189589607904	0.0101678030255571	0.0731639739447695
Saci_1736	-1.15986943657608	8.43493025131126	0.0102805639370539	0.0734431653920466
Saci_1371	-0.84123639324806	11.6476798753111	0.0105260356005153	0.0742486527796872
Saci_2296	-0.770802105410235	8.79488867945374	0.0105428600623725	0.0742486527796872
Saci_0355	0.89958132996998	7.73787286316693	0.010681784957224	0.0746972708628413
Saci_2016	1.03304423750868	12.1453885625063	0.0111913509537426	0.0777133671123525
Saci_0484	0.753425805985107	9.24515385519507	0.0115682118498493	0.0797724608812526
Saci_1403	-0.766513250029069	8.50891818813032	0.0119789752694403	0.0820353271900294
Saci_0108	-0.742734795941958	10.4652648059208	0.013027580351858	0.0882473207680907
Saci_1544	-0.794044294965032	10.7301903894723	0.0130638027723155	0.0882473207680907
